Left_endpoint_months,Right_endpoint_months,S,Epidemic_periods,SE
.,0,1,Wild-type period,0
0,0,0.6992,Wild-type period,0.0236
1,1,0.5329,Wild-type period,0.0262
2,2,0.4765,Wild-type period,0.0263
3,3,0.4145,Wild-type period,0.0261
6,6,0.3637,Wild-type period,0.0255
12,18,0.3423,Wild-type period,0.0253
24,24,0.1918,Wild-type period,0.0243
30,30,0.1781,Wild-type period,0.0713
36,36,0.1781,Wild-type period,0.0232
48,48,0.173,Wild-type period,0.0231
.,0,1,Alpha period,0
0,0,0.835,Alpha period,0.0215
1,1,0.6112,Alpha period,0.0298
2,2,0.5511,Alpha period,0.0309
3,3,0.4709,Alpha period,0.0319
6,6,0.3874,Alpha period,0.0323
12,12,0.3394,Alpha period,0.0324
18,24,0.1791,Alpha period,0.0456
24,30,0.1791,Alpha period,0.0282
36,36,0.1668,Alpha period,0.0271
48,48,0.1535,Alpha period,0.0265
.,0,1,Delta period,0
0,0,0.8816,Delta period,0.0207
1,1,0.7635,Delta period,0.0276
2,2,0.6328,Delta period,0.0316
3,3,0.5653,Delta period,0.0326
6,6,0.4725,Delta period,0.0331
12,12,0.3925,Delta period,0.0329
18,18,0.1853,Delta period,0.0608
24,30,0.1853,Delta period,0.0872
36,36,0.1853,Delta period,0.0372
.,0,1,Omicron period-2022,0
0,0,0.7203,Omicron period-2022,0.0211
1,1,0.474,Omicron period-2022,0.0239
2,2,0.3741,Omicron period-2022,0.0232
3,3,0.323,Omicron period-2022,0.0225
6,6,0.2254,Omicron period-2022,0.0201
12,12,0.1172,Omicron period-2022,0.0176
18,18,0.0979,Omicron period-2022,0.0254
24,30,0.0979,Omicron period-2022,0.0178
36,36,0.0748,Omicron period-2022,0.017
.,0,1,Omicron period-2024,0
0,0,0.7007,Omicron period-2024,0.0391
1,1,0.4341,Omicron period-2024,0.043
2,2,0.3199,Omicron period-2024,0.0405
3,3,0.2742,Omicron period-2024,0.0388
6,6,0.2056,Omicron period-2024,0.0352
12,.,0,Omicron period-2024,0
